NO	KOPERASI	DESA	KECAMATAN	AKTIF	JENIS KOPERASI	KELOMPOK KOPERASI
1	Koperasi Syariah Mutiara Persaudaraan	Sidorejo 	Jatirejo	TRUE	Simpan Pinjam	Kop. Simpan Pinjam dan Pembiayaan Syariah
2	Koperasi Wanita Tawangrejo Makmur	Ds. Tawangrejo 	Jatirejo	TRUE	Konsumen	Kop. Wanita
3	Koperasi Wanita Sekarsari	Ds. Rejosari 	Jatirejo	TRUE	Konsumen	Kop. Wanita
4	Koperasi Pertanian Tani Hutan Rakyat Sumber Makmur	Jembul	Jatirejo	TRUE	Konsumen	Kop. Pertanian
5	Koperasi Pertanian KMDH Sumber Rejeki	Ds. Jembul	Jatirejo	TRUE	Produsen	Kop. Pertanian
6	Koperasi Wanita Jembul Sejahtera	Ds. Jembul 	Jatirejo	TRUE	Konsumen	Kop. Wanita
7	Koperasi Wanita Primavera	Desa Manting	Jatirejo	TRUE	Konsumen	Kop. Wanita
8	Koperasi Pertanian KMDH Kembang Dilem	Ds. Manting	Jatirejo	TRUE	Produsen	Kop. Pertanian
9	Koperasi Wanita Pelangi Sumber Jati	Desa Sumberjati	Jatirejo	TRUE	Konsumen	Kop. Wanita
10	Koperasi Wanita Sumberjati Indah	Ds. Sumberjati 	Jatirejo	TRUE	Konsumen	Kop. Wanita
11	KSPPS Jannatul Mawa 45	Lebakjabung	Jatirejo	TRUE	Simpan Pinjam	Kop. Simpan Pinjam dan Pembiayaan Syariah
12	Koperasi Wanita Sumber Rejeki	Lebakjabung	Jatirejo	TRUE	Konsumen	Kop. Wanita
13	Koperasi Pertanian KMDH Mitra Jaya	Ds. Lebak Jabung	Jatirejo	TRUE	Produsen	Kop. Pertanian
14	Koperasi Wanita Sumber Makmur	Desa Bleberan	Jatirejo	TRUE	Konsumen	Kop. Wanita
15	Koperasi Wanita Sumberagung Jaya	Sumberagung	Jatirejo	TRUE	Konsumen	Kop. Wanita
16	Koperasi Wanita Flamboyan	Baureno	Jatirejo	TRUE	Konsumen	Kop. Wanita
17	Koperasi Karyawan Maju Bersama	Jatirejo	Jatirejo	TRUE	Konsumen	Kopkar
18	Koperasi Pondok Pesantren Robithotul Ulum	Ds. Tumapel	Jatirejo	FALSE	Konsumen	Koppontren
19	Koperasi Wanita Mandiri Lestari	Desa Mojogeneng	Jatirejo	TRUE	Konsumen	Kop. Wanita
20	Koperasi Wanita Serba Usaha	Ds. Jatirejo 	Jatirejo	TRUE	Konsumen	Kop. Wanita
21	Koperasi Pondok Pesantren Bir Aly	Jatirejo	Jatirejo	TRUE	Konsumen	Koppontren
22	Koperasi Pertanian Laju	Jatirejo 	Jatirejo	FALSE	Produsen	Kop. Pertanian
23	Koperasi Wanita Gading Makmur	Ds. Gading 	Jatirejo	TRUE	Konsumen	Kop. Wanita
24	Koperasi Wanita Suka Makmur	Kumitir	Jatirejo	TRUE	Konsumen	Kop. Wanita
25	Koperasi Perkebunan Sari Rosan	Ds. Sumengko	Jatirejo	TRUE	Produsen	Kop. Perkebunan
26	Koperasi Pegawai Negeri SAE	Ds. Sumengko	Jatirejo	TRUE	Konsumen	Kop. Pegawai Negeri (KPRI)
27	Koperasi Wanita Sahabat Nuris	Desa Sumengko	Jatirejo	TRUE	Konsumen	Kop. Wanita
28	Koperasi Sumber Lancar Jaya	Desa Gebangsari, Kecamatan Jatirejo	Jatirejo	TRUE	Konsumen	Kop. Serba Usaha
29	Koperasi Pondok Pesantren Barokah	Dsn. Kowang Ds. Gebangsari	Jatirejo	TRUE	Konsumen	Koppontren
30	Koperasi Wanita Pertiwi Gebangsari	Gebangsari 	Jatirejo	TRUE	Konsumen	Kop. Wanita
31	KJKS Adi Dharma Mandiri	Gebangsari 	Jatirejo	TRUE	Simpan Pinjam	Kop. Simpan Pinjam dan Pembiayaan Syariah
32	Koperasi Bina Mitra	Ds. Dinoyo	Jatirejo	FALSE	Konsumen	Kop. Lainnya
33	Koperasi Pasar Dinoyo	Ds. Dinoyo	Jatirejo	FALSE	Pemasaran	Kop. Pasar
34	Koperasi Unit Desa Dinoyo	Ds. Dinoyo	Jatirejo	TRUE	Produsen	KUD
